identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2,aliases
0d51e658,CD Barnwell,CD Barnwell,,,,,,,330408.0,,,,,,,,,,,741.0,,C Barnwell
87b177e8,CD Collymore,CD Collymore,,,,,,,51481.0,,,,8226.0,,,,,,,2642.0,,Corey Collymore
1d4b6b32,CD Crowe,CD Crowe,,,,,,,10887.0,,,,,,,,,,,,,
463cd7cb,CD Cumming,CD Cumming,,,,,,,36627.0,,,,9616.0,,,,,,,,,Craig Cumming
e6d298e8,CD de Lange,CD de Lange,,,,,,,44851.0,,,,,,,,,,,2783.0,,C de Lange
447aa3fb,CD Dixon,CD Dixon,,,,,,,44709.0,,,,366.0,,,,,,,,,"Cec Dixon, Cecil Dixon"
22072cab,C De Freitas,C De Freitas,,,,,,,946361.0,,,,,,,,,,,,,
94d7f855,C de Grandhomme,C de Grandhomme,,,,,,,55395.0,,,,62222.0,,,c6f02f9e-b896-4bdc-b9b4-7e5fea6a6c9b,,,,820.0,,"Colin de Grandhomme, de Grandhomme"
c6a019f5,C de Lange,C de Lange,,,,,,,914839.0,,,,,,,,,,,,,
3a72e521,CD Elly,CD Elly,,,,,,,302714.0,,,,,,,,,,,,,
4af9f5d4,CD Fletcher,CD Fletcher,,,,,,,547764.0,,,,1065209.0,,,0abba676-93ed-43fc-8ea3-2e057971f4ef,,,,,,
1ba3b61e,CD Gopinath,CD Gopinath,,,,,,,28855.0,,,,911.0,,,,,,,,,Coimbatarao Gopinath
9a06679d,CD Hartley,CD Hartley,,,,,,,5742.0,,,,,,,,,,,,,
8891669e,CD Hinchliffe,CD Hinchliffe,,,8297.0,,,,774217.0,,,,1381837.0,,,,,,,,,"Clint Hinchliffe, Hinchliffe"
735a8b3c,CD Hopkinson,CD Hopkinson,,,,,,,15284.0,,,,,,,,,,,,,
115167f6,C Diarra,C Diarra,,,,,,,1189320.0,,,,,,,,,,,,,
26b59073,C Dickson,C Dickson,,,,,,,1333962.0,,,,,,,,,,,,,
c0215bbd,CD Isaacs,CD Isaacs,,,,,,,261787.0,,,,,,,,,,,,,
10435ca2,CDJ Dent,CDJ Dent,,,,,,,302269.0,,,,179422.0,,,,,,,3477.0,,C Dent
73b14f21,CD Kibuge,CD Kibuge,,,,,,,1189304.0,,,,,,,,,,,,,
